City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Santa Isabel Do Rio Negro,BR,2021-11-24 15:57:51,-0.4139,-65.0192,93.11,46,78,5.64
160,Yumen,CN,2021-11-24 15:57:51,40.2833,97.2,30.81,27,8,11.88
161,Lorengau,PG,2021-11-24 15:57:52,-2.0226,147.2712,81.88,76,96,5.1
162,Pendleton,US,2021-11-24 15:55:27,45.6721,-118.7886,39.43,77,42,6.76
163,Bukama,CD,2021-11-24 15:57:52,-9.2,25.85,77.56,74,95,2.01
164,Cabedelo,BR,2021-11-24 15:57:52,-6.9811,-34.8339,90.27,65,13,12.1
165,Mahebourg,MU,2021-11-24 15:57:53,-20.4081,57.7,79.09,69,20,8.05
166,Harvard,US,2021-11-24 15:57:53,42.4222,-88.6137,44.2,69,100,19.22
167,Norman Wells,CA,2021-11-24 15:57:53,65.282,-126.8329,-29.16,68,75,2.3
168,Klaksvik,FO,2021-11-24 15:57:53,62.2266,-6.589,40.12,81,100,51.09
169,Grenfell,AU,2021-11-24 15:57:54,-33.9,148.1667,61.99,93,100,5.23
170,Camana,PE,2021-11-24 15:57:54,-16.6228,-72.7111,68.9,78,98,9.57
171,Townsville,AU,2021-11-24 15:56:54,-19.25,146.8,72.48,94,75,4.61
172,Bintulu,MY,2021-11-24 15:53:19,3.1667,113.0333,73.81,100,40,3.44
173,Cheremukhovo,RU,2021-11-24 15:57:54,60.3484,59.9851,8.46,91,98,4.47
174,Lahij,YE,2021-11-24 15:57:55,13.1667,44.5833,77.9,61,45,5.68
175,Plettenberg Bay,ZA,2021-11-24 15:57:55,-34.0527,23.3716,61.39,73,75,14.65
176,Inhambane,MZ,2021-11-24 15:57:56,-23.865,35.3833,77.0,65,75,15.99
177,Terney,RU,2021-11-24 15:57:56,45.0503,136.6092,19.54,76,66,7.23
178,San Patricio,US,2021-11-24 15:57:56,28.017,-97.5169,78.87,69,99,14.63
179,New Norfolk,AU,2021-11-24 15:57:57,-42.7826,147.0587,59.67,69,65,3.0
180,Cockburn Town,TC,2021-11-24 15:58:57,21.4612,-71.1419,78.76,65,75,13.8
181,Souillac,MU,2021-11-24 15:58:57,-20.5167,57.5167,79.18,69,20,8.05
182,Port Moresby,PG,2021-11-24 15:58:57,-9.4431,147.1797,77.52,89,46,3.85
183,Svetlogorsk,BY,2021-11-24 15:58:58,52.6333,29.7333,35.8,82,90,13.13
184,Vestmannaeyjar,IS,2021-11-24 15:58:58,63.4427,-20.2734,33.58,67,80,14.23
185,Acarau,BR,2021-11-24 15:58:58,-2.8856,-40.12,89.38,56,93,15.79
186,Bristol,US,2021-11-24 15:58:59,41.8334,-71.1662,39.15,49,0,4.0
187,Paso De Carrasco,UY,2021-11-24 15:58:59,-34.8603,-56.0522,84.65,26,0,13.8
188,Aborlan,PH,2021-11-24 15:58:59,9.4352,118.5492,79.03,89,100,8.41
189,Blagoveshchenka,RU,2021-11-24 15:59:00,52.8333,79.8667,26.62,97,100,1.28
190,Puerto Morazan,NI,2021-11-24 15:59:00,12.8504,-87.1717,88.38,57,99,4.79
191,Agen,FR,2021-11-24 15:59:00,44.2,0.6333,52.52,100,90,2.3
192,Jutai,BR,2021-11-24 15:59:00,-5.1833,-68.9,79.5,82,100,3.02
193,Araouane,ML,2021-11-24 15:59:01,18.9048,-3.5265,92.44,18,8,9.53
194,Saint-Pierre,RE,2021-11-24 15:59:01,-21.3393,55.4781,78.48,72,20,11.5
195,Nanakuli,US,2021-11-24 15:59:01,21.3906,-158.1547,73.71,77,0,5.66
196,Kambove,CD,2021-11-24 15:59:02,-10.8764,26.5969,62.65,93,95,3.62
197,Shimanovsk,RU,2021-11-24 15:59:02,52.0,127.7,19.22,73,99,11.9
198,Kalabo,ZM,2021-11-24 15:59:02,-14.97,22.6814,89.51,30,72,5.55
199,Noshiro,JP,2021-11-24 15:59:03,40.2039,140.0242,43.23,68,100,21.59
200,Odemira,PT,2021-11-24 15:59:03,37.598,-8.6397,57.16,59,46,10.78
201,Codrington,AU,2021-11-24 15:59:03,-38.2667,141.9667,55.53,95,26,7.14
202,Livingston,GB,2021-11-24 15:59:03,55.9029,-3.5226,42.21,78,20,6.91
203,Upernavik,GL,2021-11-24 15:59:04,72.7868,-56.1549,23.23,86,100,11.81
204,Zhuhai,CN,2021-11-24 15:59:04,22.2769,113.5678,67.98,63,0,6.91
205,Faya,SA,2021-11-24 15:59:04,18.3851,42.4509,66.31,39,9,2.98
206,Torbay,CA,2021-11-24 15:59:05,47.6666,-52.7314,48.76,98,90,23.02
207,Bairiki,KI,2021-11-24 15:59:05,1.3292,172.9752,80.6,78,20,2.3
208,Namibe,AO,2021-11-24 15:59:05,-15.1961,12.1522,74.14,58,0,14.07
209,Katherine,AU,2021-11-24 15:59:06,-14.4667,132.2667,79.12,73,75,5.75
210,Yulara,AU,2021-11-24 15:59:06,-25.2406,130.9889,64.24,55,0,10.36
211,Cabo San Lucas,MX,2021-11-24 15:55:07,22.8909,-109.9124,78.51,69,56,9.1
212,Sauk Rapids,US,2021-11-24 15:54:25,45.5919,-94.1661,39.49,72,100,4.0
213,Chake Chake,TZ,2021-11-24 15:59:06,-5.2459,39.7666,80.26,83,26,10.11
214,Hualmay,PE,2021-11-24 15:59:07,-11.0964,-77.6139,70.61,72,89,11.01
215,Bengkulu,ID,2021-11-24 15:59:07,-3.8004,102.2655,76.46,78,96,3.42
216,Flinders,AU,2021-11-24 15:57:08,-34.5833,150.8552,70.21,93,100,1.01
217,Cefa,RO,2021-11-24 15:59:07,46.9167,21.7333,39.25,87,0,2.3
218,Shetpe,KZ,2021-11-24 15:59:08,44.1667,52.1167,37.94,89,99,20.92
219,Koutsouras,GR,2021-11-24 15:59:08,35.0339,25.9469,64.11,77,74,10.29
220,Arnsberg,DE,2021-11-24 15:59:08,51.3297,8.0071,43.05,91,22,2.8
221,Caravelas,BR,2021-11-24 15:59:09,-17.7125,-39.2481,82.74,62,55,8.23
222,Saint Anthony,US,2021-11-24 15:59:09,45.0205,-93.218,48.25,69,100,1.99
223,Bredasdorp,ZA,2021-11-24 15:59:09,-34.5322,20.0403,70.29,59,0,19.3
224,Chuy,UY,2021-11-24 15:59:09,-33.6971,-53.4616,78.82,31,0,9.48
225,Nizwa,OM,2021-11-24 15:59:10,22.9333,57.5333,79.23,24,29,3.71
226,Nogliki,RU,2021-11-24 16:00:10,51.8333,143.1667,33.26,81,85,12.91
227,Saint-Paul,RE,2021-11-24 16:00:11,-21.0096,55.2707,78.91,79,12,1.01
228,Traverse City,US,2021-11-24 15:56:04,44.7631,-85.6206,44.8,70,100,5.99
229,Zhangye,CN,2021-11-24 16:00:12,38.9342,100.4517,36.01,18,2,6.38
230,Montepuez,MZ,2021-11-24 16:00:12,-13.1256,38.9997,87.91,42,83,12.84
231,Samarai,PG,2021-11-24 15:57:08,-10.6167,150.6667,82.87,78,42,14.25
232,Nhulunbuy,AU,2021-11-24 16:00:13,-12.2333,136.7667,81.21,83,74,5.75
233,Pangnirtung,CA,2021-11-24 16:00:13,66.1451,-65.7125,19.4,86,90,5.75
234,Isangel,VU,2021-11-24 16:00:13,-19.55,169.2667,73.67,87,100,9.64
235,Wasilla,US,2021-11-24 16:00:14,61.5814,-149.4394,14.4,71,90,7.0
236,Porto Novo,BJ,2021-11-24 16:00:14,6.4965,2.6036,84.65,69,100,8.88
237,Lagoa,PT,2021-11-24 16:00:15,39.05,-27.9833,64.11,80,100,34.96
238,Nemuro,JP,2021-11-24 16:00:15,43.3236,145.575,35.67,67,27,12.77
239,Sterling,US,2021-11-24 16:00:15,39.0062,-77.4286,45.25,49,1,1.01
240,Adrar,MR,2021-11-24 16:00:15,20.5022,-10.0711,90.16,19,75,4.47
241,Iqaluit,CA,2021-11-24 16:00:16,63.7506,-68.5145,23.7,62,70,15.99
242,Nikolskoye,RU,2021-11-24 16:00:16,59.7035,30.7861,35.49,78,88,10.47
